codice_body,codice_head,codice_completo,supporto
01,,01→,60533
0112,,0112→,39426
0102,,0102→,37563
011203,,011203→,35867
0110,,0110→,33506
011223,,011223→,31492
011221,,011221→,29387
011021,,011021→,29387
011020,,011020→,29387
010203,,010203→,27238
011213,,011213→,24323
011012,,011012→,23278
011002,,011002→,23278
011220,,011220→,9497
,01,→01,2257
01,02,01→02,1877
0112,03,0112→03,1764
01,20,01→20,1711
0102,03,0102→03,1622
0112,30,0112→30,1609
0110,20,0110→20,1463
0123,20,0123→20,1456
0102,30,0102→30,1397
0110,02,0110→02,852
,0102,→0102,683
01,2023,01→2023,612
01,0203,01→0203,600
,0110,→0110,468
01,0213,01→0213,463
01,10,01→10,439
,0112,→0112,429
0120,10,0120→10,397
0102,10,0102→10,390
01,0223,01→0223,389
0121,10,0121→10,388
01,2112,01→2112,385
01,1221,01→1221,385
01,0220,01→0220,369
01,2002,01→2002,369
0112,10,0112→10,365
01,2013,01→2013,359
01,2003,01→2003,347
01,2330,01→2330,342
,011203,→011203,251
,010203,→010203,226
,011221,→011221,207
,011021,→011021,207
,011020,→011020,207
0112,20,0112→20,199
,011002,→011002,153
,011012,→011012,153
01,1210,01→1210,145
01,1012,01→1012,145
,011223,→011223,134
,011213,→011213,123
01,2110,01→2110,109
01,1021,01→1021,109
01,2010,01→2010,94
01,1020,01→1020,94
01,1002,01→1002,47
01,1220,01→1220,22
,011220,→011220,12
